,datetime,tweet_Id,text,Username
57,2022-03-25 10:18:09+00:00,1507300797536772097,"1 Timothy 5:18 For the scripture saith, Thou shalt not muzzle the ox that treadeth out the corn. And, The labourer is worthy of his reward.
#HorribleBosses",OlusholaOJohn
58,2022-03-25 10:04:22+00:00,1507297330692714498,"How much was your first official salary?
#HorribleBosses",ayodaviess
59,2022-03-25 09:19:29+00:00,1507286035528663051,"#HorribleBosses yup, I’m going with bullying https://t.co/vEv3ZRUqrE",WilkieMofe
60,2022-03-25 09:06:39+00:00,1507282805973307396,@sprylyzzyzx #HorribleBosses,BWChika
61,2022-03-25 09:00:09+00:00,1507281168022093842,"#HorribleBosses: Bento Africa CEO, Ebun Okubanjo Removed https://t.co/AkkBduf6X5",newsedgeng
62,2022-03-25 08:42:59+00:00,1507276848098693120,"@KongClubNFT floor price is low and very thin after roadmap2.0 today we are going to the moon don't wait only 30 bucks for a future blue chip 
#altcoins #BTC #Crypto #DAO #EliminatoriasQatar2022 #Euphoria #FIFA22 #GhanaVsNaija #HorribleBosses #IPL2022 #looksrare #NFTCommunity https://t.co/q9twoHhTDm",yohaie2000
63,2022-03-25 08:18:37+00:00,1507270716126904353,"@BrowneOlamide #HorribleBosses #toxicworkplace Folks, do a background check of the companies you're applying for to save your sanity. Not all that glitters is gold.",mrvee_7
64,2022-03-25 08:15:56+00:00,1507270043813482501,"@BrowneOlamide #HorribleBosses #toxicworkplace for a promised salary of 70k which he can't even pay the 20k. From investigation, he's been on this act tarnishing the image of his workers to the referer and same he's done to her as well. Such a shameless man!",mrvee_7
65,2022-03-25 08:12:59+00:00,1507269298808668161,"@BrowneOlamide #HorribleBosses #toxicworkplace 
My fiance got a job at Gimel Nigeria Limited, a cloud based accounting and ERP solutions etc. A job she started this year, till date she has not been paid. It's been one excuse to another till he asked her to stop working and will pay her 20k...",mrvee_7
66,2022-03-25 08:09:58+00:00,1507268539480219650,"Since mentally aware was mentioned during the #HorribleBosses space and tweets, they stopped sending 5am newsletters o

What happened @MentallyAwareNG",ajokeola__
67,2022-03-25 07:56:34+00:00,1507265168065056770,"@bukunmipreacher @certedgetrain Lmaoooo it’s Jiblo 🤣🤣🤣

And you’re right, zero values, just a lot of noise! Nigerians like packaging and that’s why he keeps getting away with all this his drama! 

How can they even invite someone like that to Daystar? 😩😩

#horriblebosses #toxicworkplace",toaf13
68,2022-03-25 07:28:00+00:00,1507257979355156501,I did a post on #horriblebosses in #Nollywood on #LinkedIn.   https://t.co/x6vsto9fSz,obitalks
